date,open_time,close_time,open_price,close_price,asset_volume,number_of_trades
2025-01-01,09:00:00,09:15:00,150,147.56,0.16,194
2025-01-01,10:00:00,10:15:00,147.56,143.56,0.2,74
2025-01-01,11:00:00,11:15:00,143.56,139.76,0.2,102
2025-01-01,12:00:00,12:15:00,139.76,136.17,0.16,181
2025-01-01,13:00:00,13:15:00,136.17,136.48,0.19,169
2025-01-01,14:00:00,14:15:00,136.48,134.79,0.17,172
2025-01-02,09:00:00,09:15:00,134.79,132.05,0.2,139
2025-01-02,10:00:00,10:15:00,132.05,131.57,0.19,209
2025-01-02,11:00:00,11:15:00,131.57,132.08,0.2,119
2025-01-02,12:00:00,12:15:00,132.08,133.51,0.18,129
2025-01-02,13:00:00,13:15:00,133.51,133.09,0.14,95
2025-01-02,14:00:00,14:15:00,133.09,129.77,0.2,76
2025-01-03,09:00:00,09:15:00,129.77,126.55,0.15,150
2025-01-03,10:00:00,10:15:00,126.55,125.64,0.18,207
2025-01-03,11:00:00,11:15:00,125.64,126.96,0.16,157
2025-01-03,12:00:00,12:15:00,126.96,126.37,0.15,177
2025-01-03,13:00:00,13:15:00,126.37,125.6,0.13,167
2025-01-03,14:00:00,14:15:00,125.6,123.68,0.16,140
2025-01-04,09:00:00,09:15:00,123.68,121.63,0.18,207
2025-01-04,10:00:00,10:15:00,121.63,120.6,0.16,204
2025-01-04,11:00:00,11:15:00,120.6,118.91,0.19,136
2025-01-04,12:00:00,12:15:00,118.91,120.13,0.18,173
2025-01-04,13:00:00,13:15:00,120.13,118.87,0.13,208
2025-01-04,14:00:00,14:15:00,118.87,116.38,0.16,203
2025-01-05,09:00:00,09:15:00,116.38,113.83,0.15,185
2025-01-05,10:00:00,10:15:00,113.83,114.53,0.15,203
2025-01-05,11:00:00,11:15:00,114.53,113.02,0.19,153
2025-01-05,12:00:00,12:15:00,113.02,112.77,0.18,80
2025-01-05,13:00:00,13:15:00,112.77,110.92,0.16,151
2025-01-05,14:00:00,14:15:00,110.92,110.28,0.15,173
2025-01-06,09:00:00,09:15:00,110.28,107.8,0.2,175
2025-01-06,10:00:00,10:15:00,107.8,106.46,0.13,138
2025-01-06,11:00:00,11:15:00,106.46,104.88,0.16,178
2025-01-06,12:00:00,12:15:00,104.88,104.53,0.13,153
2025-01-06,13:00:00,13:15:00,104.53,104.37,0.15,165
2025-01-06,14:00:00,14:15:00,104.37,104.43,0.16,179
2025-01-07,09:00:00,09:15:00,104.43,106.03,0.2,142
2025-01-07,10:00:00,10:15:00,106.03,107.58,0.21,116
2025-01-07,11:00:00,11:15:00,107.58,105.34,0.14,85
2025-01-07,12:00:00,12:15:00,105.34,105.28,0.14,203
2025-01-07,13:00:00,13:15:00,105.28,103.23,0.17,159
2025-01-07,14:00:00,14:15:00,103.23,104.2,0.2,167
2025-01-08,09:00:00,09:15:00,104.2,102.58,0.2,111
2025-01-08,10:00:00,10:15:00,102.58,103.75,0.17,198
2025-01-08,11:00:00,11:15:00,103.75,104.56,0.14,133
2025-01-08,12:00:00,12:15:00,104.56,105.25,0.14,122
2025-01-08,13:00:00,13:15:00,105.25,104.29,0.19,190
2025-01-08,14:00:00,14:15:00,104.29,104.72,0.13,81
2025-01-09,09:00:00,09:15:00,104.72,102.99,0.19,115
2025-01-09,10:00:00,10:15:00,102.99,103.0,0.13,86
2025-01-09,11:00:00,11:15:00,103.0,103.01,0.15,199
2025-01-09,12:00:00,12:15:00,103.01,101.56,0.19,74
2025-01-09,13:00:00,13:15:00,101.56,101.81,0.13,84
2025-01-09,14:00:00,14:15:00,101.81,99.59,0.19,185
2025-01-10,09:00:00,09:15:00,99.59,99.42,0.16,142
2025-01-10,10:00:00,10:15:00,99.42,99.79,0.15,135
2025-01-10,11:00:00,11:15:00,99.79,100.0,0.18,217
2025-01-10,12:00:00,12:15:00,100.0,100.75,0.13,106
2025-01-10,13:00:00,13:15:00,100.75,102.32,0.14,211
2025-01-10,14:00:00,14:15:00,102.32,102.84,0.13,100
2025-01-11,09:00:00,09:15:00,102.84,102.47,0.15,118
2025-01-11,10:00:00,10:15:00,102.47,102.65,0.16,170
2025-01-11,11:00:00,11:15:00,102.65,101.59,0.17,139
2025-01-11,12:00:00,12:15:00,101.59,101.88,0.17,203
2025-01-11,13:00:00,13:15:00,101.88,102.93,0.16,172
2025-01-11,14:00:00,14:15:00,102.93,102.16,0.19,173
2025-01-12,09:00:00,09:15:00,102.16,101.76,0.15,184
2025-01-12,10:00:00,10:15:00,101.76,102.91,0.18,153
2025-01-12,11:00:00,11:15:00,102.91,104.16,0.18,83
2025-01-12,12:00:00,12:15:00,104.16,104.19,0.13,90
2025-01-12,13:00:00,13:15:00,104.19,104.2,0.14,201
2025-01-12,14:00:00,14:15:00,104.2,103.79,0.16,201
2025-01-13,09:00:00,09:15:00,103.79,105.04,0.17,190
2025-01-13,10:00:00,10:15:00,105.04,103.24,0.17,179
2025-01-13,11:00:00,11:15:00,103.24,102.98,0.18,144
2025-01-13,12:00:00,12:15:00,102.98,103.08,0.14,196
2025-01-13,13:00:00,13:15:00,103.08,101.94,0.18,141
2025-01-13,14:00:00,14:15:00,101.94,102.25,0.17,155
2025-01-14,09:00:00,09:15:00,102.25,102.26,0.15,141
2025-01-14,10:00:00,10:15:00,102.26,103.67,0.18,79
2025-01-14,11:00:00,11:15:00,103.67,104.9,0.19,119
2025-01-14,12:00:00,12:15:00,104.9,103.21,0.2,182
2025-01-14,13:00:00,13:15:00,103.21,104.53,0.17,110
2025-01-14,14:00:00,14:15:00,104.53,104.77,0.18,164
2025-01-15,09:00:00,09:15:00,104.77,103.34,0.15,199
2025-01-15,10:00:00,10:15:00,103.34,105.69,0.21,113
2025-01-15,11:00:00,11:15:00,105.69,105.21,0.17,91
2025-01-15,12:00:00,12:15:00,105.21,105.88,0.13,75
