date,open_time,close_time,open_price,close_price,asset_volume,number_of_trades
2025-01-01,09:00:00,09:15:00,42000,41243.63,38.83,4028
2025-01-01,10:00:00,10:15:00,41243.63,39992.42,46.62,4784
2025-01-01,11:00:00,11:15:00,39992.42,39298.53,36.16,3744
2025-01-01,12:00:00,12:15:00,39298.53,37938.73,51.07,5213
2025-01-01,13:00:00,13:15:00,37938.73,36670.48,50.16,5164
2025-01-01,14:00:00,14:15:00,36670.48,35982.51,44.24,4523
2025-01-01,15:00:00,15:15:00,35982.51,35289.33,39.56,4044
2025-01-01,16:00:00,16:15:00,35289.33,34742.93,45.08,4666
2025-01-02,09:00:00,09:15:00,34742.93,34716.47,40.03,4167
2025-01-02,10:00:00,10:15:00,34716.47,34158.73,40.27,4087
2025-01-02,11:00:00,11:15:00,34158.73,33589.87,50.69,5166
2025-01-02,12:00:00,12:15:00,33589.87,32577.91,43.2,4418
2025-01-02,13:00:00,13:15:00,32577.91,32257.6,42.29,4298
2025-01-02,14:00:00,14:15:00,32257.6,32092.02,50.95,5261
2025-01-02,15:00:00,15:15:00,32092.02,31710.43,40.46,4240
2025-01-02,16:00:00,16:15:00,31710.43,31664.24,50.15,5078
2025-01-03,09:00:00,09:15:00,31664.24,30670.8,45.82,4687
2025-01-03,10:00:00,10:15:00,30670.8,30731.43,57.2,5872
2025-01-03,11:00:00,11:15:00,30731.43,30667.5,49.69,5060
2025-01-03,12:00:00,12:15:00,30667.5,30634.9,39.75,4148
2025-01-03,13:00:00,13:15:00,30634.9,30250.33,36.16,3698
2025-01-03,14:00:00,14:15:00,30250.33,29831.01,42.56,4321
2025-01-03,15:00:00,15:15:00,29831.01,29556.38,43.81,4442
2025-01-03,16:00:00,16:15:00,29556.38,28757.3,56.11,5800
2025-01-04,09:00:00,09:15:00,28757.3,27966.47,48.01,4865
2025-01-04,10:00:00,10:15:00,27966.47,27539.87,48.54,5007
2025-01-04,11:00:00,11:15:00,27539.87,27619.05,40.7,4200
2025-01-04,12:00:00,12:15:00,27619.05,26964.4,55.67,5724
2025-01-04,13:00:00,13:15:00,26964.4,26660.73,34.7,3593
2025-01-04,14:00:00,14:15:00,26660.73,26669.84,47.5,4913
2025-01-04,15:00:00,15:15:00,26669.84,26093.3,39.46,4129
2025-01-04,16:00:00,16:15:00,26093.3,25870.32,48.08,4964
2025-01-05,09:00:00,09:15:00,25870.32,25715.35,42.32,4422
2025-01-05,10:00:00,10:15:00,25715.35,25316.79,47.84,4840
2025-01-05,11:00:00,11:15:00,25316.79,24622.25,44.94,4647
2025-01-05,12:00:00,12:15:00,24622.25,24245.76,43.57,4480
2025-01-05,13:00:00,13:15:00,24245.76,24323.19,52.93,5367
2025-01-05,14:00:00,14:15:00,24323.19,23582.1,44.3,4487
2025-01-05,15:00:00,15:15:00,23582.1,23127.29,47.28,4809
