date,open_time,close_time,open_price,close_price,asset_volume,number_of_trades
2025-01-01,09:00:00,09:15:00,25,25.09,0.02,72
2025-01-01,10:00:00,10:15:00,25.09,25.11,0.03,80
2025-01-01,11:00:00,11:15:00,25.11,25.31,0.02,54
2025-01-01,12:00:00,12:15:00,25.31,24.8,0.03,90
2025-01-01,13:00:00,13:15:00,24.8,24.48,0.03,134
2025-01-01,14:00:00,14:15:00,24.48,23.85,0.03,192
2025-01-02,09:00:00,09:15:00,23.85,24.01,0.03,83
2025-01-02,10:00:00,10:15:00,24.01,23.74,0.03,156
2025-01-02,11:00:00,11:15:00,23.74,23.59,0.03,141
2025-01-02,12:00:00,12:15:00,23.59,23.06,0.03,81
2025-01-02,13:00:00,13:15:00,23.06,23.25,0.03,66
2025-01-02,14:00:00,14:15:00,23.25,22.9,0.03,144
2025-01-03,09:00:00,09:15:00,22.9,22.63,0.03,54
2025-01-03,10:00:00,10:15:00,22.63,22.08,0.03,129
2025-01-03,11:00:00,11:15:00,22.08,22.33,0.03,172
2025-01-03,12:00:00,12:15:00,22.33,22.31,0.02,129
2025-01-03,13:00:00,13:15:00,22.31,22.31,0.02,190
2025-01-03,14:00:00,14:15:00,22.31,22.07,0.02,152
2025-01-04,09:00:00,09:15:00,22.07,21.72,0.03,138
2025-01-04,10:00:00,10:15:00,21.72,21.65,0.02,96
2025-01-04,11:00:00,11:15:00,21.65,21.33,0.02,92
2025-01-04,12:00:00,12:15:00,21.33,21.09,0.02,147
2025-01-04,13:00:00,13:15:00,21.09,21.12,0.03,87
2025-01-04,14:00:00,14:15:00,21.12,20.98,0.03,188
2025-01-05,09:00:00,09:15:00,20.98,20.69,0.03,171
2025-01-05,10:00:00,10:15:00,20.69,20.66,0.02,59
2025-01-05,11:00:00,11:15:00,20.66,20.72,0.03,81
2025-01-05,12:00:00,12:15:00,20.72,20.32,0.03,85
2025-01-05,13:00:00,13:15:00,20.32,20.52,0.03,70
2025-01-05,14:00:00,14:15:00,20.52,20.68,0.03,84
2025-01-06,09:00:00,09:15:00,20.68,20.71,0.03,70
2025-01-06,10:00:00,10:15:00,20.71,20.85,0.03,121
2025-01-06,11:00:00,11:15:00,20.85,21.21,0.03,154
2025-01-06,12:00:00,12:15:00,21.21,20.81,0.03,148
2025-01-06,13:00:00,13:15:00,20.81,21.05,0.02,133
2025-01-06,14:00:00,14:15:00,21.05,21.33,0.03,70
2025-01-07,09:00:00,09:15:00,21.33,21.09,0.02,139
2025-01-07,10:00:00,10:15:00,21.09,21.27,0.02,99
2025-01-07,11:00:00,11:15:00,21.27,20.93,0.02,103
2025-01-07,12:00:00,12:15:00,20.93,20.73,0.03,189
2025-01-07,13:00:00,13:15:00,20.73,20.92,0.02,173
2025-01-07,14:00:00,14:15:00,20.92,20.58,0.03,99
2025-01-08,09:00:00,09:15:00,20.58,20.3,0.02,64
2025-01-08,10:00:00,10:15:00,20.3,19.91,0.04,146
2025-01-08,11:00:00,11:15:00,19.91,20.28,0.03,146
2025-01-08,12:00:00,12:15:00,20.28,20.56,0.03,137
2025-01-08,13:00:00,13:15:00,20.56,20.58,0.03,132
2025-01-08,14:00:00,14:15:00,20.58,20.52,0.02,159
2025-01-09,09:00:00,09:15:00,20.52,20.27,0.03,115
2025-01-09,10:00:00,10:15:00,20.27,20.56,0.03,123
2025-01-09,11:00:00,11:15:00,20.56,20.34,0.03,83
2025-01-09,12:00:00,12:15:00,20.34,20.6,0.02,179
2025-01-09,13:00:00,13:15:00,20.6,20.23,0.03,62
2025-01-09,14:00:00,14:15:00,20.23,19.85,0.03,102
2025-01-10,09:00:00,09:15:00,19.85,20.1,0.02,118
2025-01-10,10:00:00,10:15:00,20.1,20.13,0.03,75
2025-01-10,11:00:00,11:15:00,20.13,19.77,0.03,159
2025-01-10,12:00:00,12:15:00,19.77,19.68,0.03,168
2025-01-10,13:00:00,13:15:00,19.68,19.82,0.02,100
2025-01-10,14:00:00,14:15:00,19.82,20.01,0.02,192
2025-01-11,09:00:00,09:15:00,20.01,20.24,0.02,138
2025-01-11,10:00:00,10:15:00,20.24,20.57,0.03,141
2025-01-11,11:00:00,11:15:00,20.57,20.92,0.03,135
2025-01-11,12:00:00,12:15:00,20.92,21.27,0.03,188
2025-01-11,13:00:00,13:15:00,21.27,21.3,0.03,65
2025-01-11,14:00:00,14:15:00,21.3,21.01,0.03,75
2025-01-12,09:00:00,09:15:00,21.01,20.8,0.03,193
2025-01-12,10:00:00,10:15:00,20.8,20.69,0.03,55
2025-01-12,11:00:00,11:15:00,20.69,21.16,0.03,197
2025-01-12,12:00:00,12:15:00,21.16,21.51,0.03,106
2025-01-12,13:00:00,13:15:00,21.51,21.45,0.03,183
2025-01-12,14:00:00,14:15:00,21.45,21.62,0.02,164
2025-01-13,09:00:00,09:15:00,21.62,21.8,0.03,140
2025-01-13,10:00:00,10:15:00,21.8,21.95,0.02,133
2025-01-13,11:00:00,11:15:00,21.95,21.85,0.03,131
2025-01-13,12:00:00,12:15:00,21.85,21.85,0.03,88
2025-01-13,13:00:00,13:15:00,21.85,21.52,0.03,104
2025-01-13,14:00:00,14:15:00,21.52,21.36,0.02,108
2025-01-14,09:00:00,09:15:00,21.36,21.26,0.03,126
2025-01-14,10:00:00,10:15:00,21.26,21.09,0.03,64
2025-01-14,11:00:00,11:15:00,21.09,20.96,0.03,87
2025-01-14,12:00:00,12:15:00,20.96,21.29,0.02,181
2025-01-14,13:00:00,13:15:00,21.29,21.53,0.03,123
2025-01-14,14:00:00,14:15:00,21.53,21.78,0.02,161
2025-01-15,09:00:00,09:15:00,21.78,21.79,0.03,103
2025-01-15,10:00:00,10:15:00,21.79,21.56,0.03,188
2025-01-15,11:00:00,11:15:00,21.56,21.31,0.03,93
2025-01-15,12:00:00,12:15:00,21.31,21.22,0.02,94
2025-01-15,13:00:00,13:15:00,21.22,21.64,0.03,122
2025-01-15,14:00:00,14:15:00,21.64,22.0,0.03,178
