date,open_time,close_time,open_price,close_price,asset_volume,number_of_trades
2025-01-01,09:00:00,09:15:00,3200,3183.53,4.04,457
2025-01-01,10:00:00,10:15:00,3183.53,3115.95,3.23,396
2025-01-01,11:00:00,11:15:00,3115.95,3075.26,3.72,557
2025-01-01,12:00:00,12:15:00,3075.26,3020.65,3.77,510
2025-01-01,13:00:00,13:15:00,3020.65,2927.15,3.33,427
2025-01-01,14:00:00,14:15:00,2927.15,2856.25,2.93,473
2025-01-01,15:00:00,15:15:00,2856.25,2806.9,3.85,541
2025-01-01,16:00:00,16:15:00,2806.9,2753.63,3.03,407
2025-01-02,09:00:00,09:15:00,2753.63,2713.62,3.5,403
2025-01-02,10:00:00,10:15:00,2713.62,2733.56,4.15,492
2025-01-02,11:00:00,11:15:00,2733.56,2743.1,4.2,544
2025-01-02,12:00:00,12:15:00,2743.1,2732.65,3.56,412
2025-01-02,13:00:00,13:15:00,2732.65,2706.75,3.54,460
2025-01-02,14:00:00,14:15:00,2706.75,2662.26,3.85,485
2025-01-02,15:00:00,15:15:00,2662.26,2676.88,3.8,465
2025-01-02,16:00:00,16:15:00,2676.88,2597.21,3.27,450
2025-01-03,09:00:00,09:15:00,2597.21,2620.54,4.46,556
2025-01-03,10:00:00,10:15:00,2620.54,2573.37,3.83,513
2025-01-03,11:00:00,11:15:00,2573.37,2597.56,4.45,608
2025-01-03,12:00:00,12:15:00,2597.56,2608.35,4.2,549
2025-01-03,13:00:00,13:15:00,2608.35,2604.71,3.97,542
2025-01-03,14:00:00,14:15:00,2604.71,2537.47,3.72,513
2025-01-03,15:00:00,15:15:00,2537.47,2488.13,3.11,410
2025-01-03,16:00:00,16:15:00,2488.13,2458.6,3.66,534
2025-01-04,09:00:00,09:15:00,2458.6,2452.35,4.04,468
2025-01-04,10:00:00,10:15:00,2452.35,2402.7,3.53,491
2025-01-04,11:00:00,11:15:00,2402.7,2404.63,2.95,463
2025-01-04,12:00:00,12:15:00,2404.63,2392.83,3.91,441
